game,word,score0,abaca,3
977,cobra,3
978,cocka,4
979,cocky,4
980,cocoa,5
981,cocos,6
982,cocus,5
983,codem,3
984,codex,4
985,codon,4
986,coelo,4
987,coeur,4
988,cohue,3
989,coign,3
990,coins,4
991,coles,4
992,colic,4
993,colon,5
994,color,4
995,colza,4
996,comae,4
997,combe,3
998,combo,3
999,comer,3
1000,comes,4
1001,comet,5
1002,comic,6
1003,comma,6
1004,comme,5
1005,comon,6
1006,compo,5
1007,compt,5
1008,conch,6
1009,coney,3
1010,conga,3
1011,conge,3
1012,congo,4
1013,conic,6
1014,connu,5
1015,conoy,5
1016,conte,4
1017,conto,5
1018,cooks,4
1019,cooky,6
1020,coold,4
1021,cooly,7
1022,coons,5
1023,copal,4
1024,coper,4
1025,copia,4
1026,copra,4
1027,copse,4
1028,coral,5
1029,coram,4
1030,corda,4
1031,cords,3
1032,corgi,3
1033,corno,5
1034,cornu,4
1035,corps,3
1036,corse,5
1037,corso,4
1038,corto,5
1039,cosey,5
1040,costa,5
1041,costs,5
1042,cotta,6
1043,couch,6
1044,cough,2
1045,could,3
1046,count,4
1047,coupe,5
1048,court,5
1049,coute,4
1050,couth,3
1051,coven,3
1052,cover,5
1053,covet,5
1054,covey,6
1055,covin,4
1056,cower,6
1057,coyly,7
1058,coyol,7
1059,coypu,5
1060,cozen,4
1061,crabs,2
1062,crack,6
1063,craft,4
1064,craig,3
1065,crake,3
1066,cramp,5
1067,crane,4
1068,crank,4
1069,crape,5
1070,craps,6
1071,crash,3
1072,crass,6
1073,crate,6
1074,crave,7
1075,crawl,4
1076,craze,8
1077,crazy,7
1078,creak,4
1079,cream,5
1080,creat,6
1081,crecy,5
1082,crede,4
1083,credo,3
1084,creed,5
1085,creek,5
1086,creel,5
1087,creep,6
1088,creme,5
1089,crepe,6
1090,cress,6
1091,crest,4
1092,crete,4
1093,crick,5
1094,crier,3
1095,crime,4
1096,crimp,3
1097,crisp,4
1098,crith,3
1099,crius,4
1100,croak,4
1101,croat,4
1102,crock,5
1103,croft,3
1104,crone,5
1105,crony,7
1106,crook,5
1107,croon,6
1108,crore,5
1109,cross,7
1110,croup,4
1111,crowd,3
1112,crown,6
1113,crows,7
